word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
:themselvcs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:miserable,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
:bad,1,2,1,0,1,1,1,1,0,1,1,0,0,1,2,2,3
:can,11,22,9,7,17,19,5,11,9,13,4,10,17,6,5,7,10
:given,4,0,1,3,0,0,0,1,0,1,0,1,1,2,1,6,1
:slaves,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0
:passions,1,0,4,0,0,0,0,2,4,2,0,0,0,2,5,0,0
:considerations,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
:lead,2,0,0,2,2,1,0,1,1,1,0,0,2,0,0,1,0
:problem,2,0,2,0,7,0,0,0,0,0,1,1,1,0,1,1,1
:man,16,19,46,18,5,23,25,21,26,16,20,5,16,14,35,10,7
:woman,3,0,1,1,8,1,0,4,0,2,0,1,1,6,3,1,1
:here,1,0,1,0,1,1,0,0,0,0,0,0,1,0,2,0,0
:now,2,2,0,1,3,3,1,1,0,2,3,2,4,1,3,0,1
:midst,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:nostalgic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:society,2,0,5,0,1,1,0,0,1,2,0,0,0,0,0,1,5
:achieve,5,1,0,1,0,2,0,1,2,0,0,0,0,0,1,0,1
:happines,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:himself,5,3,1,7,2,5,4,3,7,4,1,0,2,9,9,10,5
:hetself,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:discussing,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:shall,5,0,2,0,1,2,0,1,0,3,0,0,1,2,1,1,0
:confine,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:attention,2,1,3,0,0,0,1,0,0,0,2,1,0,0,2,0,0
:subject,2,0,0,0,3,1,2,0,0,2,0,0,2,0,0,0,0
:extreme,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,2,1
:outward,1,0,1,1,0,0,1,2,3,1,0,1,0,0,1,0,0
:misery,1,2,2,0,0,0,1,2,0,0,0,0,0,0,1,0,1
:assume,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
:income,1,1,1,0,1,3,0,3,0,1,3,0,0,0,0,0,1
:secure,1,1,1,2,2,0,0,1,0,0,0,0,0,2,0,1,0
:food,1,1,9,0,0,0,0,0,1,0,0,1,0,0,0,2,0
:shelter,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
:bodily,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
:activities,2,3,1,1,1,1,5,2,0,0,0,1,0,0,0,2,0
:possible,3,17,2,2,5,3,1,4,0,1,2,3,11,2,6,4,6
:consider,1,4,2,2,2,0,1,2,0,3,1,3,2,0,4,3,3
:catastrophes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:loss,1,0,3,0,1,1,3,0,0,1,1,0,0,1,1,1,1
:children,1,0,4,3,68,1,2,3,0,0,5,2,2,9,1,1,0
:public,1,6,3,2,2,0,0,1,0,0,1,0,6,1,1,7,17
:disgrace,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
:there,5,11,17,7,27,9,7,6,6,26,12,9,7,13,19,12,16
:things,6,8,9,2,5,3,5,3,5,14,0,4,2,3,5,1,2
:said,1,2,3,1,2,0,2,0,0,3,0,1,1,3,1,3,1
:matters,3,0,2,0,0,0,2,2,0,0,1,0,2,0,0,1,3
:important,2,6,1,2,4,3,2,3,1,0,3,0,5,1,2,3,1
:belong,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1
:order,1,2,5,0,3,3,1,2,0,0,2,0,0,1,0,3,0
:wish,4,3,1,3,0,0,4,2,1,3,3,3,0,3,4,5,1
:say,3,4,8,3,4,2,4,3,5,9,3,5,1,6,6,5,5
:purpose,1,0,3,1,0,8,3,1,1,0,1,1,1,1,0,2,0
:suggest,3,1,0,1,0,0,0,1,0,0,0,1,2,0,2,2,0
:cure,3,1,0,2,0,1,0,2,0,2,1,0,2,6,2,0,1
:civilised,1,0,6,0,5,0,1,1,0,0,1,2,0,2,0,0,0
:countries,1,3,2,0,2,0,0,6,0,0,4,0,0,0,2,0,1
:suffer,1,1,0,1,2,1,1,1,1,1,1,1,0,0,0,0,0
:more,5,9,16,19,21,10,8,11,4,12,11,16,9,18,10,8,19
:unbearable,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
:bscause,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:having,6,3,1,1,4,1,0,0,0,3,1,2,3,2,0,2,1
:obviious,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:external,5,1,2,1,0,0,2,0,2,0,0,0,0,0,1,0,0
:appears,1,0,3,0,1,1,1,0,0,1,0,0,1,1,2,2,0
:inescapable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:believe,3,1,0,0,3,2,0,3,1,4,1,3,0,3,2,3,2
:largely,2,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,2
:due,4,0,1,2,1,0,0,0,1,3,1,1,3,0,2,0,0
:mistaken,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
:views,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
:ethics,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
:habits,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
:life,9,11,25,14,14,7,18,5,6,13,25,29,9,9,15,7,6
:leading,1,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
:destruction,1,0,1,0,1,10,0,0,0,0,0,0,0,2,0,0,0
